2.275	-8.275	-0.325	155	155	155
2.275	-8.325	-0.325	155	155	155
2.275	-8.375	-0.325	155	155	155
2.275	-8.425	-0.325	155	155	155
2.275	-8.475	-0.325	154	153	153
2.325	-8.275	-0.325	155	155	155
2.325	-8.325	-0.325	155	155	155
2.325	-8.375	-0.325	155	155	155
2.325	-8.425	-0.325	155	155	155
2.375	-8.275	-0.325	155	155	155
2.375	-8.325	-0.325	155	155	155
2.375	-8.375	-0.325	155	155	155
2.375	-8.425	-0.325	155	155	155
2.425	-8.275	-0.325	155	155	155
2.425	-8.325	-0.325	155	155	155
2.425	-8.375	-0.325	155	155	155
2.425	-8.425	-0.325	154	154	154
2.475	-8.275	-0.325	155	155	155
2.475	-8.325	-0.325	155	155	155
2.475	-8.375	-0.325	155	155	155
2.525	-8.275	-0.325	155	155	155
2.525	-8.325	-0.325	155	155	155
2.525	-8.375	-0.325	155	155	155
2.575	-8.275	-0.325	155	155	155
2.575	-8.325	-0.325	155	155	155
2.575	-8.375	-0.325	155	155	155
2.625	-8.275	-0.325	155	155	155
2.625	-8.325	-0.325	155	155	155
2.675	-8.275	-0.325	155	155	155
2.675	-8.325	-0.325	155	155	155
2.725	-8.275	-0.325	155	155	155
2.725	-8.325	-0.325	155	155	155
2.775	-8.275	-0.325	155	155	155
2.825	-8.275	-0.325	155	155	155
2.875	-8.275	-0.325	155	155	155
2.925	-8.275	-0.325	155	155	155
2.975	-8.325	-0.325	75	74	72
3.125	-8.275	-0.325	116	115	114
3.075	-8.275	-0.325	153	153	153
3.025	-8.275	-0.325	154	154	154
2.975	-8.275	-0.325	154	154	154
2.925	-8.325	-0.325	144	144	144
2.875	-8.325	-0.325	153	153	153
2.825	-8.325	-0.325	154	154	154
2.775	-8.325	-0.325	154	154	154
2.775	-8.375	-0.325	88	86	86
2.725	-8.375	-0.325	149	149	149
2.675	-8.375	-0.325	153	153	153
2.625	-8.375	-0.325	154	154	154
2.575	-8.425	-0.325	113	112	112
2.525	-8.425	-0.325	148	148	148
2.475	-8.425	-0.325	153	153	153
2.425	-8.475	-0.325	85	83	83
2.375	-8.475	-0.325	110	108	108
2.325	-8.475	-0.325	149	149	149
3.125	-8.225	-0.325	154	154	154
3.225	-8.225	-0.325	155	155	155
3.175	-8.225	-0.325	154	154	154
3.075	-8.225	-0.325	155	155	155
3.025	-8.225	-0.325	155	155	155
2.975	-8.225	-0.325	155	155	155
2.925	-8.225	-0.325	155	155	155
2.875	-8.225	-0.325	155	155	155
2.825	-8.225	-0.325	155	155	155
2.775	-8.225	-0.325	155	155	155
2.725	-8.225	-0.325	155	155	155
2.675	-8.225	-0.325	155	155	155
2.625	-8.225	-0.325	155	155	155
2.575	-8.225	-0.325	155	155	155
2.525	-8.225	-0.325	155	155	155
2.475	-8.225	-0.325	155	155	155
2.425	-8.225	-0.325	154	154	154
2.375	-8.225	-0.325	155	155	155
2.325	-8.225	-0.325	155	155	155
3.225	-8.175	-0.325	155	155	155
3.175	-8.175	-0.325	155	155	155
3.125	-8.175	-0.325	155	155	155
3.075	-8.175	-0.325	155	155	155
3.025	-8.175	-0.325	155	155	155
2.975	-8.175	-0.325	155	155	155
2.925	-8.175	-0.325	155	155	155
2.875	-8.175	-0.325	155	155	155
2.825	-8.175	-0.325	155	155	155
2.775	-8.175	-0.325	155	155	155
2.725	-8.175	-0.325	155	155	155
2.675	-8.175	-0.325	155	155	155
2.625	-8.175	-0.325	155	155	155
2.475	-8.175	-0.325	155	155	155
2.425	-8.175	-0.325	144	144	144
2.375	-8.175	-0.325	142	142	142
2.325	-8.175	-0.325	104	104	104
2.275	-8.175	-0.325	87	87	87
2.275	-8.225	-0.325	155	155	155
3.325	-8.225	-0.325	104	103	102
3.325	-8.175	-0.325	155	155	155
3.275	-8.175	-0.325	155	155	155
3.475	-8.175	-0.325	143	143	143
3.425	-8.175	-0.325	153	153	153
3.375	-8.175	-0.325	154	154	154
3.275	-8.225	-0.325	147	147	146
3.225	-8.125	-0.325	155	155	155
3.175	-8.125	-0.325	155	155	155
3.125	-8.125	-0.325	155	155	155
3.075	-8.125	-0.325	155	155	155
3.025	-8.125	-0.325	155	155	155
2.975	-8.125	-0.325	155	155	155
2.925	-8.125	-0.325	155	155	155
2.875	-8.125	-0.325	155	155	155
2.825	-8.125	-0.325	155	155	155
2.775	-8.125	-0.325	155	155	155
2.725	-8.125	-0.325	154	154	154
2.675	-8.125	-0.325	89	89	89
2.625	-8.125	-0.325	85	85	85
2.575	-8.125	-0.325	81	81	81
2.525	-8.125	-0.325	123	123	123
2.475	-8.125	-0.325	80	80	80
2.425	-8.125	-0.325	80	80	80
2.375	-8.125	-0.325	80	80	80
2.325	-8.125	-0.325	80	80	80
2.275	-8.125	-0.325	80	80	80
3.475	-8.125	-0.325	155	155	155
3.425	-8.125	-0.325	155	155	155
3.675	-8.125	-0.325	141	140	140
3.625	-8.125	-0.325	152	152	152
3.575	-8.125	-0.325	154	154	154
3.525	-8.125	-0.325	154	154	154
3.375	-8.125	-0.325	155	155	155
3.325	-8.125	-0.325	155	155	155
3.275	-8.125	-0.325	155	155	155
3.225	-8.075	-0.325	155	155	155
3.175	-8.075	-0.325	155	155	155
3.125	-8.075	-0.325	155	155	155
3.075	-8.075	-0.325	155	155	155
